Date,Price,Open,High,Low,Vol.,Change %
21-05-2025,51.38,51.5,51.75,50.75,12.62M,0.51%
20-05-2025,51.12,52.88,53.02,51,16.81M,-2.74%
19-05-2025,52.56,52.21,54.1,52.12,27.00M,0.84%
16-05-2025,52.12,52.3,53.67,51.66,25.15M,0.08%
15-05-2025,52.08,51.8,52.63,51.52,18.98M,0.87%
14-05-2025,51.63,50.2,51.97,49.86,29.80M,3.07%
13-05-2025,50.09,49.65,50.7,48.98,19.46M,0.89%
12-05-2025,49.65,49,49.9,48.5,18.88M,6.39%
09-05-2025,46.67,46,46.95,45.89,15.65M,-1.95%
08-05-2025,47.6,48.49,49.18,47.15,16.35M,-0.81%
07-05-2025,47.99,47,48.25,46.4,22.18M,-0.10%
06-05-2025,48.04,49.24,49.84,47.9,14.37M,-2.44%
05-05-2025,49.24,48.89,49.4,48.15,14.79M,1.38%
02-05-2025,48.57,48.69,49.32,48.11,17.34M,-0.25%
30-04-2025,48.69,50.19,50.35,48.01,18.94M,-2.99%
29-04-2025,50.19,50.1,50.79,49.26,27.31M,1.29%
28-04-2025,49.55,49.7,50.35,48.41,30.95M,-0.62%
25-04-2025,49.86,52.5,52.69,49.56,50.64M,-4.87%
24-04-2025,52.41,52.55,54.44,52.3,42.81M,-0.27%
23-04-2025,52.55,53.46,53.59,50.86,58.22M,-1.00%
22-04-2025,53.08,52.97,53.97,52.24,30.69M,0.38%
21-04-2025,52.88,50.57,53.57,50.45,67.05M,5.30%
17-04-2025,50.22,50.35,50.7,50.1,20.60M,0.02%
16-04-2025,50.21,50.5,52.78,50,58.07M,-0.12%
15-04-2025,50.27,51.25,51.65,50.06,33.94M,0.14%
11-04-2025,50.2,51.59,51.7,49.9,22.51M,0.18%
09-04-2025,50.11,51.21,51.3,49.79,18.71M,-1.51%
08-04-2025,50.88,52.49,52.87,50.02,38.48M,0.22%
07-04-2025,50.77,45.35,51.75,45.35,37.90M,-3.26%
04-04-2025,52.48,53.5,53.81,51.56,23.20M,-2.89%
03-04-2025,54.04,53,54.48,53,22.39M,-0.06%
02-04-2025,54.07,52.75,54.22,51.83,33.54M,2.58%
01-04-2025,52.71,52.81,54.4,52.55,33.29M,-0.64%
28-03-2025,53.05,55.1,55.7,52.62,38.03M,-3.72%
27-03-2025,55.1,51.83,55.6,51.58,83.18M,6.49%
26-03-2025,51.74,54,54.98,51.35,49.18M,-4.40%
25-03-2025,54.12,57.5,57.73,53.57,57.33M,-2.89%
24-03-2025,55.73,57.56,58.43,54.86,65.53M,-0.61%
21-03-2025,56.07,51.71,56.87,51.27,189.12M,8.43%
20-03-2025,51.71,54.11,54.43,51.4,55.92M,-3.97%
19-03-2025,53.85,52.97,55.8,52.91,125.14M,2.05%
18-03-2025,52.77,46.37,54.37,46.37,190.18M,12.44%
17-03-2025,46.93,49.98,50.24,46.4,66.01M,-7.09%
13-03-2025,50.51,51.5,51.78,50.3,23.28M,-1.08%
12-03-2025,51.06,51.1,52.55,50.78,29.80M,0.29%
11-03-2025,50.91,53,53.12,50.67,34.49M,-5.46%
10-03-2025,53.85,56.36,56.73,53.25,25.19M,-4.74%
07-03-2025,56.53,56.37,57.64,55.84,22.30M,0.28%
06-03-2025,56.37,58.26,58.95,56.05,36.04M,-1.00%
05-03-2025,56.94,55.5,57.38,55.41,21.42M,1.79%
04-03-2025,55.94,54.03,56.75,53.62,22.92M,1.49%
03-03-2025,55.12,58,58.07,53.71,28.88M,-3.01%
28-02-2025,56.83,55.99,57.7,55.68,54.34M,-0.16%
27-02-2025,56.92,59.98,59.98,56.37,19.87M,-4.13%
25-02-2025,59.37,59.89,60.6,59.11,13.93M,-0.59%
24-02-2025,59.72,60,60.38,58.89,18.19M,-1.94%
21-02-2025,60.9,61.7,63.1,60.56,19.44M,-1.31%
20-02-2025,61.71,60.24,62.7,59.81,26.48M,1.92%
19-02-2025,60.55,59.4,61.6,58.58,27.18M,0.46%
18-02-2025,60.27,60.6,61.65,58.8,25.50M,-1.66%
17-02-2025,61.29,60.95,62.11,59.29,36.04M,0.69%
14-02-2025,60.87,64.56,64.8,60.15,35.13M,-5.30%
13-02-2025,64.28,65,66.12,63.81,24.48M,-0.53%
12-02-2025,64.62,65.5,65.6,63.3,37.54M,-0.98%
11-02-2025,65.26,67.9,67.9,64.36,28.38M,-3.46%
10-02-2025,67.6,68.91,68.97,67.16,27.92M,-3.39%
07-02-2025,69.97,72.11,72.3,68.3,36.40M,-2.60%
06-02-2025,71.84,74.6,74.99,71.56,22.28M,-3.70%
05-02-2025,74.6,76.98,77,73.51,23.58M,-0.33%
04-02-2025,74.85,74.2,75.46,73.72,22.87M,2.42%
03-02-2025,73.08,74.51,76.47,72.37,45.90M,-1.68%
01-02-2025,74.33,75.99,80.8,73.66,85.43M,-0.63%
31-01-2025,74.8,67.85,76.53,67.62,116.62M,11.99%
30-01-2025,66.79,66.71,68.47,66.29,20.58M,1.23%
29-01-2025,65.98,65.82,68.31,65.24,26.43M,1.26%
28-01-2025,65.16,68.16,68.79,64.6,31.30M,-4.29%
27-01-2025,68.08,70.1,70.44,67.5,22.70M,-4.57%
24-01-2025,71.34,73.34,73.75,71,14.30M,-2.93%
23-01-2025,73.49,74.79,74.79,73.17,11.53M,-1.10%
22-01-2025,74.31,76.6,76.89,73.8,15.52M,-2.53%
21-01-2025,76.24,77.14,78.78,76.01,27.33M,-0.12%
20-01-2025,76.33,75,77,74.33,15.29M,2.58%
17-01-2025,74.41,74.5,75.18,73.91,13.40M,-0.53%
16-01-2025,74.81,75,75.48,74.01,16.45M,2.13%
15-01-2025,73.25,73.9,75.6,72.1,28.97M,0.51%
14-01-2025,72.88,71.5,73.47,70.39,34.10M,3.85%
13-01-2025,70.18,71,72.83,70,32.63M,-4.37%
10-01-2025,73.39,75.5,76.5,72.7,38.61M,-3.00%
09-01-2025,75.66,79.4,79.6,75.27,24.97M,-4.84%
08-01-2025,79.51,77,80.15,75.16,61.61M,0.44%
07-01-2025,79.16,78.9,81.18,78.55,30.77M,1.55%
06-01-2025,77.95,82.8,83.1,77.5,33.40M,-5.76%
03-01-2025,82.71,84.7,85.11,82.26,30.98M,-2.36%
02-01-2025,84.71,86.24,88.59,83.58,37.56M,-1.75%
01-01-2025,86.22,86.4,86.67,85.25,16.27M,0.57%
31-12-2024,85.73,85.19,87.64,84.87,29.58M,0.78%
30-12-2024,85.07,87.1,88.08,84.5,37.61M,-5.40%
27-12-2024,89.93,93.85,94.25,88.51,37.60M,-3.87%
26-12-2024,93.55,97,99.95,93.1,69.59M,-0.46%
24-12-2024,93.98,93.4,95.66,92.78,22.49M,1.39%
23-12-2024,92.69,93.97,95.24,92.1,30.47M,-1.05%
20-12-2024,93.67,95.6,97.83,92.13,38.32M,-1.52%
19-12-2024,95.12,94,96.39,93.15,26.29M,-1.35%
18-12-2024,96.42,97.95,98.2,94.8,37.71M,-1.04%
17-12-2024,97.43,97.3,100.4,96.91,47.46M,0.65%
16-12-2024,96.8,93.81,99.62,93.56,67.36M,3.19%
13-12-2024,93.81,93.5,94.88,93,29.24M,-0.19%
12-12-2024,93.99,96.12,96.6,93.75,24.83M,-2.22%
11-12-2024,96.12,94.89,98.13,93.01,66.95M,1.64%
10-12-2024,94.57,92.25,95.5,92.23,50.85M,2.51%
09-12-2024,92.25,96.4,97,91.5,40.58M,-3.82%
06-12-2024,95.91,96.9,98.3,95.25,48.47M,-2.65%
05-12-2024,98.52,98.73,100.2,95.48,76.87M,0.16%
04-12-2024,98.36,98.75,102.5,97.61,133.84M,-0.18%
03-12-2024,98.54,94.09,101.78,92.51,236.99M,5.63%
02-12-2024,93.29,84.11,94.47,81.2,168.06M,6.73%
29-11-2024,87.41,92.15,92.49,86.7,76.16M,-6.00%
28-11-2024,92.99,90.65,94.5,88.77,186.60M,5.55%
27-11-2024,88.1,77.7,88.1,75.26,244.70M,19.99%
26-11-2024,73.42,69.58,74.8,69.58,57.39M,5.52%
25-11-2024,69.58,70.55,72.3,69.3,21.41M,0.64%
22-11-2024,69.14,67.21,69.74,66.66,28.73M,2.87%
21-11-2024,67.21,69.5,69.7,66.86,29.12M,-3.04%
19-11-2024,69.32,68.99,71.18,68.99,22.43M,0.57%
18-11-2024,68.93,70,70.9,68.1,38.57M,-1.70%
14-11-2024,70.12,71.04,71.88,69.54,34.17M,-1.17%
13-11-2024,70.95,73.8,74.19,70.55,29.80M,-4.50%
12-11-2024,74.29,75.2,76.65,73.71,36.93M,-0.05%
11-11-2024,74.33,72.72,77.6,70.55,99.00M,2.21%
08-11-2024,72.72,74.92,74.99,72.6,30.13M,-2.47%
07-11-2024,74.56,75,78.25,74.07,55.66M,0.22%
06-11-2024,74.4,75.41,75.43,73.5,51.88M,0.30%
05-11-2024,74.18,80.04,80.29,73.84,89.68M,-8.24%
04-11-2024,80.84,84.45,84.8,79.61,30.67M,-2.41%
01-11-2024,82.84,82.39,83.65,82.01,7.90M,2.42%
31-10-2024,80.88,80,83.25,79.16,34.10M,1.32%
30-10-2024,79.83,76.32,80.67,75.08,47.42M,4.60%
29-10-2024,76.32,77.7,78.5,74.84,29.30M,-1.64%
28-10-2024,77.59,77.99,80.5,77.12,31.80M,0.39%
25-10-2024,77.29,80.05,80.49,76.73,22.42M,-3.39%
24-10-2024,80,81.81,82.1,79.77,17.91M,-2.15%
23-10-2024,81.76,81.2,83,79.15,33.12M,0.84%
22-10-2024,81.08,83.98,85.29,80.5,41.67M,-0.70%
21-10-2024,81.65,87.19,87.48,81,34.97M,-6.10%
18-10-2024,86.95,85.75,88,85.02,25.52M,-0.71%
17-10-2024,87.57,89.39,90,87.2,16.58M,-1.79%
16-10-2024,89.17,90,90.39,88.62,20.03M,-0.38%
15-10-2024,89.51,88.79,91.87,88.65,56.88M,2.34%
14-10-2024,87.46,90,90.5,87.15,36.29M,-3.04%
11-10-2024,90.2,91,92.25,89.66,34.32M,-0.65%
10-10-2024,90.79,94,95.17,90,49.22M,-5.21%
09-10-2024,95.78,95.32,98.69,93.79,57.07M,0.39%
08-10-2024,95.41,86,96.78,86,113.35M,5.05%
07-10-2024,90.82,99.9,100,89.55,90.11M,-8.31%
04-10-2024,99.05,100,100,95.39,43.65M,-0.21%
03-10-2024,99.26,100,102.19,99,27.99M,-3.27%
